text1	text2	label
and when i 'm staring , i 'm just thinking of more questions .	how does it feel to be a princess ?	0
actually , it 's andy garcia 's brother .	in fact , it 's brother-in-law andy garza .	1
i did n't like them suffering , though .	but i did n't like them when they suffered .	1
url : gopher protocol	do n't look at this hand !	0
have ballistics take a look at it ?	to look at ballistics ?	1
sydney was supposed to hand me her ops report 15 minutes ago .	sydney was supposed to give me a message 15 minutes ago .	1
is not what you say about drew . is what you do n't say .	it 's not what you 're saying about drew , but what you do n't say about him .	1
did n't anyone ever just , you know , wreck your life and then you see them as an adult ?	there 's two of them .	0
`` you 've exposed us , by coming here , '' tung argued .	some women do n't talk about this .	0
will you see that mr. sheldrake gets it ?	when you see sheldrake , will you give it to him ?	1
no judging .	he 's not judging .	1
who dares to touch my monkeys .	who dares to threaten my monkeys ?	1
'and the next day it was found that any of the boys could read them .	`` and the next day , it turned out that all boys could read the words .	1
again , he recognised it but felt that there was something missing .	and again , he recognized her , but there seemed to be something missing .	1
hmm . that 's what savi said , too .	that 's what savi said .	1
is-is nicky here yet ?	the führer would n't understand that you are refusing to contribute .	0
( b ) to retain the weighting-in documents established at the time of entry into the storage place ;	`` you forget that someone is trying to poison me for years , belgarion .	0
‘ 31n .	now , please , all of you , open your hymns on page 90 --	0
and for whom do you work ?	who are you working with ?	1
these are very nice places ... nurturing , supportive .	they 're very pretty places , educational , supportive .	1
i can not rest on your beds .	i ca n't lie in your beds .	1
if being trailed is gon na help clear your name ... ... better it 's me than someone who thinks you 're guilty .	`` i 'll catch some lunch ! '' the girl said enthusiastically .	0
do you talk to you mom a lot ?	are you talking to your mommy ?	1
that cold look of appraisal never changed .	i 'll need you as soon as possible .	0
jesus . i do n't know how you deal with her .	wow , i do n't know how you treat her .	1
he voided the verdict and discharged the defendant .	he declared the jury 's verdict to be invalid and the defendant discharged from custody .	1
you did precisely the job we hired you for .	you 've fully accomplished what we hired you for .	1
you 're wanted on the telephone .	it 'll dissipate just as soon as you get out .	0
do n't move , do n't move , do n't move .	is that why you called me home ?	0
enough talk . it 's time for action .	that 's enough , it 's time for action !	1
borides carbides nitrides diamond-like carbon ( 17 )	no worries , she 's a great bunch of kids .	0
perhaps they could tell us , but they have not chosen to do so .	give it to me !	0
she 'll be through in a minute .	he 'll be done in a minute .	1
no , it 's nothin ' like that .	i thought you 'd cancel it if you knew .	0
thisjustin tonight .	the procedure for a regulatory procedure with scrutiny is defined by the new article 5a .	0
one was plenty , thank you .	one was enough , thanks .	1
it 's a simple procedure . it 'll grow back .	it 's a simple procedure .	1
that 'll what ?	this means that , in the case of 5 % , volatility is considered to be the maximum in normal times .	0
